restaurant_name,restaurant_ID,restaurant_address,restaurant_tag,rating,price,review_number,unique_reviewer,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,restaurant_neighborhood,GIS_ID,CT_ID_10,NUM_REST,RATE_REVIEWS,RATE_REVIEWERS,AVG_RATING,PCT_DLRS_1,PCT_DLRS_2,PCT_DLRS_3,PCT_DLRS_4,PCT_DLRS_NA,reviews_Jan_19,reviews_Feb_19,reviews_Mar_19,reviews_Apr_19,reviews_May_19,reviews_Jun_19,reviews_Jul_19,reviews_Aug_19,reviews_Jan_20,reviews_Feb_20,reviews_Mar_20,reviews_Apr_20,reviews_May_20,reviews_Jun_20,reviews_Jul_20,reviews_Aug_20,closed
Ariana Restaurant,147,"384 Western Ave,Brighton, MA 02135,","Afghan,",4.5,$$ ,410,410,1,0,3,0,2,8,2,1,0,3,2,1,1,1,1,1,Brighton,2200862010,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Article 24,154,"458 Western Ave,Brighton, MA 02135,","Bars,American (New),Sandwiches,",4,$$ ,268,268,3,2,3,0,4,2,5,3,5,1,4,0,1,0,2,0,Brighton,2200621000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Bandita Brighton,254,"458 Western Ave,Brighton, MA 02135,","Tacos,Cocktail Bars,",3.5,NA,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2200621000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Big Daddys Pizza & Sub Shop,335,"436 Western Ave,Brighton, MA 02135,","Pizza,Sandwiches,",3.5,$ ,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2200625000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Big Daddys Pizza & Sub Shop,336,"436 Western Ave,Brighton, MA 02135,","Pizza,Sandwiches,",3.5,$ ,398,397,4,2,8,4,6,6,18,6,0,6,2,2,8,2,2,2,Brighton,2200625000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Brighton Landing Cafe,486,"20 Guest St,Boston, MA 02135,","American (New),Coffee & Tea,Breakfast & Brunch,",4,$ ,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brighton,2201906010,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Casa Caña,665,"1234 Soldiers Field Rd,Boston, MA 02135,","Latin American,Cocktail Bars,Breakfast & Brunch,",3.5,NA,82,80,4,7,3,5,9,9,4,3,0,1,0,0,0,0,0,0,Brighton,2200562002,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Flatbread Company Brighton,1218,"76 Guest St,Brighton, MA 02135,","Pizza,Bowling,",4,$$ ,69,69,2,1,1,1,1,5,1,3,1,2,1,0,1,0,0,0,Brighton,2201905070,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
IHOP,1510,"1850 Soldiers Field Rd,Brighton, MA 02135,","Breakfast & Brunch,American (Traditional),Burgers,",2.5,$$ ,201,201,0,2,3,1,0,1,3,1,0,2,1,0,1,0,1,0,Brighton,2202749000,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
Kohi Coffee Company,1672,"130 Guest St,Brighton, MA 02135,","Coffee & Tea,Bakeries,Breakfast & Brunch,",4,$$ ,70,70,1,1,3,2,1,2,1,2,2,2,1,0,1,0,0,0,Brighton,2201905030,25025000100,21,197.7142857,178.3333333,3.89727842,0.380952381,0.428571429,0.047619048,0,0.142857143,46,67,69,57,56,69,71,63,47,48,22,8,19,11,15,16,FALSE
